text,user,location,date
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,CryptoFroBro,,2022-03-30 21:13:37+00:00
"RT @newsmax: U.S. stocks fell on Wednesday, with the Dow and S&amp;P 500 snapping four-session winning streaks, on waning signs of progress for…",txkman,,2022-03-30 21:13:36+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,CarterClan6169,"California, USA",2022-03-30 21:11:11+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,ring_of_gold,,2022-03-30 21:09:42+00:00
"RT @newsmax: U.S. stocks fell on Wednesday, with the Dow and S&amp;P 500 snapping four-session winning streaks, on waning signs of progress for…",SheilaT13704999,"San Antonio, TX",2022-03-30 21:07:54+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,TallSeller,I will NEVER ask for crypto!,2022-03-30 21:07:07+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,ZeroSamOne,,2022-03-30 21:03:12+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",MabryMdmabry,,2022-03-30 21:01:23+00:00
"U.S. stocks fell on Wednesday, with the Dow and S&amp;P 500 snapping four-session winning streaks, on waning signs of p… https://t.co/ouv1cq2WXs",SkyNetPlatform,Washington,2022-03-30 21:00:56+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,Dplrblmctnght,"The Pleasuredome, Xanadu",2022-03-30 20:58:50+00:00
"RT @MarketWatch: All three major U.S. stock benchmarks closed lower Wednesday, with the Dow and S&amp;P 500 snapping four-day winning streaks,…",iMaurovic,"New York, USA",2022-03-30 20:58:42+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,jamesSt61046664,SYDNEY,2022-03-30 20:58:11+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,ucb197,United States,2022-03-30 20:57:20+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,danielKdenning,"Laramie, Wyoming",2022-03-30 20:56:59+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,stuartg1943,Bluffton SC,2022-03-30 20:56:27+00:00
"RT @newsmax: U.S. stocks fell on Wednesday, with the Dow and S&amp;P 500 snapping four-session winning streaks, on waning signs of progress for…",Sunnyc4u,"Indiana, USA",2022-03-30 20:55:50+00:00
"RT @newsmax: U.S. stocks fell on Wednesday, with the Dow and S&amp;P 500 snapping four-session winning streaks, on waning signs of progress for…",JessieG05894984,"Melbourne, Victoria",2022-03-30 20:54:01+00:00
"RT @newsmax: U.S. stocks fell on Wednesday, with the Dow and S&amp;P 500 snapping four-session winning streaks, on waning signs of progress for…",eHhNyT56zKVvTra,,2022-03-30 20:51:58+00:00
"U.S. stocks fell on Wednesday, with the Dow and S&amp;P 500 snapping four-session winning streaks, on waning signs of p… https://t.co/cfYRvlbRRn",newsmax,United States,2022-03-30 20:50:26+00:00
"S&amp;P 500 $SPY Top Gainers during today  $PSX $VLO $PAYX $MPC 
    
Learn more: https://t.co/GHCpoWwQo9 https://t.co/HqQTN2kwP1",Finscreener_com,,2022-03-30 20:48:14+00:00
RT @CNBC: U.S. stocks slid on Wednesday after rallying in the previous session as investors monitored developments in Ukraine and the bond…,sktest18,ランシール,2022-03-30 20:45:16+00:00
"RT @LizYoungStrat: Since 1977, there have been eight yield curve inversions. The S&amp;P 500's average return in the following year was +11.5%,…",Krish_404,,2022-03-30 20:43:37+00:00
"RT @cgtnamerica: U.S. stocks fell on Wednesday, with the Dow Jones Industrial Average down 65.38 points, or 0.19 percent, to 35,228.81.  Th…",Ibrahimaliyuab5,yola. nigeria,2022-03-30 20:40:44+00:00
RT @CNBC: U.S. stocks slid on Wednesday after rallying in the previous session as investors monitored developments in Ukraine and the bond…,realDogecoinOG,"Phoenix, AZ",2022-03-30 20:39:47+00:00
Barchart Technical Opinion for S&amp;P 500 Energy [Sector] ($SREN) https://t.co/AbD7G2rmna) via @Barchart,Ciprianova1,Bochum,2022-03-30 20:35:48+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,ByeByeBull,,2022-03-30 20:34:25+00:00
"RT @CGTNOfficial: U.S. stocks fell on Wednesday, with the Dow Jones Industrial Average down 65.38 points, or 0.19 percent, to 35,228.81.  T…",yueliang86,Moon River,2022-03-30 20:33:55+00:00
"RT @CGTNOfficial: U.S. stocks fell on Wednesday, with the Dow Jones Industrial Average down 65.38 points, or 0.19 percent, to 35,228.81.  T…",AguerOil,"Melbourne, Victoria",2022-03-30 20:27:48+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,blomstras,,2022-03-30 20:26:44+00:00
"RT @CGTNOfficial: U.S. stocks fell on Wednesday, with the Dow Jones Industrial Average down 65.38 points, or 0.19 percent, to 35,228.81.  T…",okojiuchenna,"Anambra, Nigeria",2022-03-30 20:26:18+00:00
"Dow, S&amp;P 500 snap 4-day winning streak as stocks end lower #news",JacekWierzbicki,,2022-03-30 20:24:54+00:00
"RT @YahooFinance: Stocks fall to end 4-day winning streak: S&amp;P 500 drops 0.6%, Nasdaq declines by 1.2% https://t.co/WTxIY81d9T by @emily_mc…",stefanboom73,"Venray, Nederland",2022-03-30 20:23:11+00:00
"RT @CGTNOfficial: U.S. stocks fell on Wednesday, with the Dow Jones Industrial Average down 65.38 points, or 0.19 percent, to 35,228.81.  T…",Amir19888611,worldwide ,2022-03-30 20:21:26+00:00
"RT @CGTNOfficial: U.S. stocks fell on Wednesday, with the Dow Jones Industrial Average down 65.38 points, or 0.19 percent, to 35,228.81.  T…",hectorsmx25,México,2022-03-30 20:21:03+00:00
RT @hussmanjp: So this is fun. The share of household financial assets invested in stocks ended 2021 at the highest extreme in history (and…,trentcaffee,"Texas, USA",2022-03-30 20:20:41+00:00
"U.S. stocks fell on Wednesday, with the Dow Jones Industrial Average down 65.38 points, or 0.19 percent, to 35,228.… https://t.co/oXfhGS3lUD",CGTNOfficial,"Beijing, China",2022-03-30 20:20:12+00:00
"Market Snapshot: Dow, S&amp;P 500 snap four-session win streak as stocks close lower on fading Ukraine optimism https://t.co/dwGKZmtqok",ValenzuelaPost,"Toronto, Ontario",2022-03-30 20:20:04+00:00
