UNDERLYING_LAST,EXPIRE_DATE,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,STRIKE,STRIKE_DISTANCE_PCT,STRIKE DISTANCE
468.75,1/7/2022,1.21,0.19961,0.05619,0.09585,-0.36405,0.00444,0.14607,5097.0,0.56,473.0,0.009,4.25
468.75,1/7/2022,1.21,0.33342,0.07094,0.12394,-0.54483,0.00863,0.15035,6857.0,1.11,471.0,0.005,2.25
468.75,1/7/2022,1.21,0.48397,0.07501,0.1363,-0.64613,0.01153,0.15551,12198.0,2.04,469.0,0.001,0.25
468.75,1/7/2022,1.21,0.40758,0.0746,0.13276,-0.6088,0.01013,0.15249,16946.0,1.52,470.0,0.003,1.25
467.66,1/7/2022,0.17,0.02402,0.02117,0.0132,-0.02468,0.00024,0.11706,4464.0,0.03,473.0,0.011,5.34
467.66,1/7/2022,0.17,0.04328,0.0362,0.02176,-0.04509,0.0003,0.10963,9582.0,0.05,472.0,0.009,4.34
467.66,1/7/2022,0.17,0.01458,0.01262,0.0091,-0.0149,-0.00011,0.12546,3321.0,0.01,474.0,0.014,6.34
467.66,1/7/2022,0.17,0.00491,0.00441,0.0032,-0.00482,0.00019,0.13927,1606.0,0.01,476.0,0.018,8.34
467.66,1/7/2022,0.17,0.00555,0.00545,0.0041,-0.00453,-0.0003,0.12446,4522.0,0.01,475.0,0.016,7.34
467.66,1/7/2022,0.17,0.43762,0.163,0.09171,-0.78563,0.00471,0.10457,27086.0,0.78,468.0,0.001,0.34
467.66,1/7/2022,0.17,0.59675,0.15251,0.08962,-0.69765,0.00659,0.11017,25467.0,1.34,467.0,0.001,-0.66
467.66,1/7/2022,0.17,0.27652,0.14398,0.07805,-0.39462,0.0036,0.10034,16500.0,0.42,469.0,0.003,1.34
467.66,1/7/2022,0.17,0.07923,0.06167,0.03442,-0.08506,0.00127,0.10348,6714.0,0.08,471.0,0.007,3.34
467.66,1/7/2022,0.17,0.15334,0.10167,0.05547,-0.18553,0.00142,0.10072,37218.0,0.19,470.0,0.005,2.34
476.74,1/7/2022,4.08,0.08494,0.02938,0.0854,-0.07904,0.00514,0.09715,2317.0,0.19,484.0,0.015,7.26
476.74,1/7/2022,4.08,0.05643,0.02178,0.06321,-0.05499,0.0036,0.09541,2301.0,0.13,485.0,0.017,8.26
476.74,1/7/2022,4.08,0.1206,0.03738,0.1102,-0.10603,0.00705,0.09768,1429.0,0.31,483.0,0.013,6.26
476.74,1/7/2022,4.08,0.21983,0.05321,0.16262,-0.17044,0.01396,0.10191,2283.0,0.69,481.0,0.009,4.26
476.74,1/7/2022,4.08,0.16528,0.04568,0.13715,-0.13804,0.01072,0.09956,1301.0,0.48,482.0,0.011,5.26
468.75,1/7/2022,1.21,0.05681,0.02226,0.03887,-0.11165,0.00107,0.15075,4800.0,0.13,477.0,0.018,8.25
468.75,1/7/2022,1.21,0.04731,0.01806,0.03337,-0.09586,0.00121,0.15935,2444.0,0.1,478.0,0.02,9.25
476.74,1/7/2022,4.08,0.01861,0.00833,0.02479,-0.02014,0.00148,0.09734,329.0,0.04,488.0,0.024,11.26
476.74,1/7/2022,4.08,0.04005,0.01631,0.04765,-0.04158,0.00288,0.09684,1148.0,0.07,486.0,0.019,9.26
476.74,1/7/2022,4.08,0.02755,0.01179,0.03462,-0.02957,0.00205,0.09743,483.0,0.05,487.0,0.022,10.26
476.74,1/7/2022,4.08,0.65763,0.05517,0.20123,-0.25662,0.0377,0.1231,2235.0,4.18,474.0,0.006,-2.74
476.74,1/7/2022,4.08,0.60369,0.05948,0.21051,-0.26359,0.03514,0.11946,9272.0,3.5,475.0,0.004,-1.74
468.75,1/7/2022,1.21,0.08005,0.02926,0.05062,-0.15688,0.00154,0.14905,2967.0,0.19,476.0,0.015,7.25
468.75,1/7/2022,1.21,0.1498,0.04654,0.07928,-0.28262,0.00411,0.14678,4881.0,0.38,474.0,0.011,5.25
468.75,1/7/2022,1.21,0.1094,0.03737,0.06365,-0.21209,0.00303,0.14705,7571.0,0.26,475.0,0.013,6.25
476.74,1/7/2022,4.08,0.34615,0.06334,0.20184,-0.22755,0.02142,0.10604,4778.0,1.34,479.0,0.005,2.26
476.74,1/7/2022,4.08,0.2793,0.05945,0.18461,-0.20047,0.01753,0.10333,11301.0,0.98,480.0,0.007,3.26
476.74,1/7/2022,4.08,0.41348,0.06525,0.21265,-0.24759,0.02557,0.10939,5702.0,1.78,478.0,0.003,1.26
476.74,1/7/2022,4.08,0.5438,0.06286,0.21715,-0.2648,0.03229,0.1158,10113.0,2.87,476.0,0.002,-0.74
476.74,1/7/2022,4.08,0.48043,0.06486,0.21805,-0.26099,0.02863,0.11274,9372.0,2.28,477.0,0.001,0.26
467.26,1/7/2022,0.12,0.53999,0.17929,0.08975,-0.7399,0.00581,0.09851,35076.0,0.99,467.0,0.001,-0.26
466.93,1/7/2022,0.08,0.13254,0.1135,0.04764,-0.12489,0.00091,0.08598,29551.0,0.12,469.0,0.004,2.07
466.93,1/7/2022,0.08,0.27869,0.17812,0.07367,-0.32495,0.00293,0.08628,55828.0,0.32,468.0,0.002,1.07
466.93,1/7/2022,0.08,0.0553,0.05733,0.02477,-0.0449,0.00098,0.08836,49842.0,0.05,470.0,0.007,3.07
466.93,1/7/2022,0.08,0.01769,0.01807,0.00992,-0.0155,0.00059,0.10962,11730.0,0.01,472.0,0.011,5.07
466.93,1/7/2022,0.08,0.02942,0.03112,0.01501,-0.0248,0.00038,0.09879,8191.0,0.02,471.0,0.009,4.07
475.93,1/7/2022,4.15,0.61084,0.05705,0.21104,-0.26851,0.03651,0.12286,1946.0,3.69,474.0,0.004,-1.93
475.93,1/7/2022,4.15,0.5536,0.06028,0.2169,-0.27141,0.03343,0.12024,6799.0,3.07,475.0,0.002,-0.93
475.93,1/7/2022,4.15,0.66298,0.05299,0.20076,-0.25989,0.03821,0.12587,594.0,4.42,473.0,0.006,-2.93
466.93,1/7/2022,0.08,0.47875,0.202,0.08817,-0.73494,0.00518,0.0896,42809.0,0.74,467.0,0.0,0.07
